Packet ID,Source Address,Flow Inter Packet Times 1,Flow Inter Packet Times 2,Flow Inter Packet Times 3,Prefix Inter Packet Times 1,Prefix Inter Packet Times 2,Prefix Inter Packet Times 3,Hop Count,New Addresses Seen,Port
80,0,4400,380,4400,380,380,380,1000000,0,7000000
56,2000000,4154,2481,4154,2481,2481,2481,1000000,0,9000000
48,1000000,4496,1635,4496,1635,1635,1635,1000000,0,8000000
81,0,4542,426,4542,426,426,426,1000000,0,7000000
57,2000000,4482,2421,4482,2421,2421,2421,1000000,0,9000000
49,1000000,4190,1343,4190,1343,1343,1343,1000000,0,8000000
82,0,4433,669,4433,669,669,669,1000000,0,7000000
58,2000000,4252,2240,4252,2240,2240,2240,1000000,0,9000000
50,1000000,4241,1332,4241,1332,1332,1332,1000000,0,8000000
83,0,4289,717,4289,717,717,717,1000000,0,7000000
59,2000000,4283,2234,4283,2234,2234,2234,1000000,0,9000000
51,1000000,4239,1288,4239,1288,1288,1288,1000000,0,8000000
84,0,4288,766,4288,766,766,766,1000000,0,7000000
60,2000000,4395,2341,4395,2341,2341,2341,1000000,0,9000000
52,1000000,4213,1106,4213,1106,1106,1106,1000000,0,8000000
85,0,4312,865,4312,865,865,865,1000000,0,7000000
12,43000000,228750,62688,122082,62688,62688,62688,4000000,3000000,0
61,2000000,4676,2705,4676,2705,2705,2705,1000000,0,9000000
53,1000000,4179,609,4179,609,609,609,1000000,0,8000000
86,0,4289,975,4289,975,975,975,1000000,0,7000000
62,2000000,4061,2477,4061,2477,2477,2477,1000000,0,9000000
54,1000000,4178,726,4178,726,726,726,1000000,0,8000000
87,0,4202,999,4202,999,999,999,1000000,0,7000000
63,2000000,4256,2531,4256,2531,2531,2531,1000000,0,9000000
55,1000000,4262,732,4262,732,732,732,1000000,0,8000000
88,0,4183,920,4183,920,920,920,1000000,0,7000000
64,2000000,4614,2962,4614,2962,2962,2962,1000000,0,9000000
56,1000000,4445,563,4445,563,563,563,1000000,0,8000000
89,0,4649,1124,4649,1124,1124,1124,1000000,0,7000000
11,103000000,238369,132489,18056,132489,132489,132489,7000000,3000000,0
12,44000000,235206,18330,54635,18330,18330,18330,4000000,3000000,0
65,2000000,4339,2652,4339,2652,2652,2652,1000000,0,9000000
57,1000000,4242,466,4242,466,466,466,1000000,0,8000000
90,0,4138,1020,4138,1020,1020,1020,1000000,0,7000000
66,2000000,4394,2908,4394,2908,2908,2908,1000000,0,9000000
58,1000000,4214,286,4214,286,286,286,1000000,0,8000000
91,0,4262,1068,4262,1068,1068,1068,1000000,0,7000000
67,2000000,4361,3007,4361,3007,3007,3007,1000000,0,9000000
59,1000000,4287,212,4287,212,212,212,1000000,0,8000000
92,0,4298,1079,4298,1079,1079,1079,1000000,0,7000000
60,1000000,4170,3091,4170,3091,3091,3091,1000000,0,8000000
68,2000000,4581,199,4581,199,199,199,1000000,0,9000000
93,0,4264,974,4264,974,974,974,1000000,0,7000000
61,1000000,4009,2836,4009,2836,2836,2836,1000000,0,8000000
69,2000000,4326,516,4326,516,516,516,1000000,0,9000000
94,0,4326,974,4326,974,974,974,1000000,0,7000000
62,1000000,4404,2914,4404,2914,2914,2914,1000000,0,8000000
70,2000000,4410,522,4410,522,522,522,1000000,0,9000000
95,0,4293,857,4293,857,857,857,1000000,0,7000000
63,1000000,4345,2966,4345,2966,2966,2966,1000000,0,8000000
71,2000000,4338,515,4338,515,515,515,1000000,0,9000000
96,0,4237,756,4237,756,756,756,1000000,0,7000000
64,1000000,4120,2849,4120,2849,2849,2849,1000000,0,8000000
72,2000000,4228,623,4228,623,623,623,1000000,0,9000000
97,0,4297,825,4297,825,825,825,1000000,0,7000000
12,82000000,218633,180013,113789,180013,180013,180013,6000000,3000000,0
